material, abbrv, material_type, youngs_modulus_psi, density_range_kg_m3, damping_coeff, poissons_ratio, reference_link,opt_ref_coeff,opt_tans_coeff
skull cortical bones, SCB, head,2175000 ,2000 ,[0.02:0.04] ,0.22 ,  https://www.sciencedirect.com/science/article/pii/S0264127515303695, [0.0000:0.0000],[1.0000:1.0000]
skull trabecular bones, STB, head,145000 ,1300 ,[0.03:0.06] ,0.24 ,  https://www.sciencedirect.com/science/article/pii/S0264127515303695, [0.6554:0.6554],[0.3446:0.3446]
ethylene vinyl acetate, EVA, closed cell foam, ,[32 48 64],[0.1:0.2] , [0.3:0.4],  https://allcases.com/wp-content/uploads/permanent/cert/EVA-Crosslink-Properties.pdf,,
sorbothane, SBT, viscoelastic polymer, [36:382], [1330 1346 1361],[0.57 0.65] ,[0.45:0.49] ,   https://www.sorbothane.com/wp-content/uploads/101-sorbothane-material-properties.pdf, [0.9784:0.9934],[0.0066:0.0216]
duocell foam aluminium, DCA, open cell foam,15000 , 2700,[0.01:0.03] , 0.15,  https://ergaerospace.com/aluminum-foam-cell-structure-material/, [0.8240:0.8240],[0.1760:0.1760]
duocell foam copper, DCC, open cell foam,[109000:245000] , [710:860],[0.01:0.03] , 0.2,  https://ergaerospace.com/copper-foam/, [0.6392:0.7646],[0.2354:0.3608]
natural rubber, NRB, viscoelastic polymer, 435, 920,[0.15:0.25] ,0.5 ,  https://designerdata.nl/materials/natural-rubber, [0.9810:0.9810],[0.0190:0.0190]
flexible polyurethane foam, FPF, open cell foam,[22:29] ,[16:80] ,[0.15:0.3] ,[0.25:0.35] , https://therubbercompany.com/wp-content/uploads/2013/06/Polyurethane-Foam-Sheeting-Data-Sheet.pdf, [0.9985:0.9994],[0.0006:0.0015]
rigid polyurethane foam, RPF, closed cell foam,[30:200] ,[30:100] ,[0.05:0.15] ,[0.2:0.3] ,  https://www.goodfellow.com/usa/closed-cell-polyurethane-sizes-foam-group#:~:text=Closed%20Cell%20Polyurethane%20Foam%20is, [0.9957:0.9991],[0.0009:0.0043]
memory foam, MYF, viscoelastic polymer,[3:15] ,[50:120] , [0.2:0.4],0.35 ,  ,[0.9987:0.9996],[0.0004:0.0013]
expanded polystyrene, EPS, closed cell foam,[2000:5000] ,[15:30] ,[0.01:0.03] ,[0.1:0.15] ,  ,[0.9883:0.9948],[0.0052:0.0117]
expanded polypropylene, EPP,closed cell foam,[5000:15000] ,[20:200] ,[0.05:0.1] , [0.2:0.3], ,[0.9488:0.9905],[0.0095:0.0512]
acrylonitrile butadiene styrene, ABS, thermoplastic polymer,[290000:435000] ,[1040:1060] ,[0.01:0.03] ,[0.35:0.40] , ,[0.5088:0.5831],[0.4169:0.4912]
poron XRD, PXD, open cell foam,[30:100] ,[240:320] ,[0.25:0.45] ,[0.3:0.4] , ,[0.9946:0.9974],[0.0026:0.0054]
vinyl nitrile foam, VNF, closed cell foam,[1500:4000] ,[55:120] ,[0.1:0.25] ,[0.25:0.35] , ,[0.9792:0.9913],[0.0087:0.0208]
